Pts,FPI
20.0,-6.7
6.0,-6.7
10.0,-6.7
27.0,-6.7
20.0,-6.7
27.0,-6.7
7.0,-3.8
6.0,-3.8
10.0,-3.8
16.0,-3.8
18.0,-3.8
10.0,-3.8
3.0,-3.8
13.0,-3.8
13.0,-3.8
20.0,-4.2
6.0,-4.2
23.0,-4.2
27.0,-4.2
14.0,-4.2
12.0,-4.2
7.0,-4.2
6.0,-4.2
16.0,-4.2
28.0,-4.2
6.0,-4.2
20.0,-4.2
21.0,-1.4
10.0,-1.4
10.0,-1.4
14.0,-1.4
26.0,-1.4
27.0,-1.4
7.0,-1.4
16.0,-1.4
49.0,-2.1
14.0,-2.1
30.0,-2.1
7.0,-2.1
35.0,-2.1
17.0,-2.1
26.0,-2.1
20.0,-2.1
26.0,-2.1
20.0,-2.1
10.0,7.2
28.0,7.2
18.0,7.2
24.0,7.2
20.0,7.2
10.0,-2.8
16.0,-2.8
18.0,-2.8
10.0,-2.8
20.0,-2.8
16.0,-2.8
19.0,-2.8
21.0,-2.8
6.0,4.1
16.0,4.1
20.0,4.1
17.0,4.1
31.0,4.1
17.0,3.6
17.0,3.6
17.0,3.6
17.0,3.6
23.0,3.6
20.0,3.6
13.0,8.3
15.0,8.3
6.0,8.3
22.0,8.3
10.0,7.9
13.0,7.9
12.0,-2.0
10.0,-2.0
10.0,-2.0
16.0,-2.0
19.0,-2.0
23.0,-2.0
17.0,-2.0
14.0,-2.0
28.0,-2.0
20.0,2.8
3.0,2.8
9.0,2.8
7.0,2.8
13.0,2.8
20.0,2.8
24.0,-9.7
9.0,-9.7
26.0,-9.7
17.0,-9.7
10.0,-9.7
10.0,-9.7
13.0,-9.7
28.0,-9.7
13.0,-9.7
20.0,-9.7
7.0,-9.7
10.0,-9.7
13.0,-9.7
24.0,-9.7
20.0,-9.7
12.0,-2.9
17.0,-2.9
7.0,-2.9
14.0,-2.9
24.0,-2.9
10.0,-2.9
6.0,-2.9
16.0,3.5
14.0,3.5
17.0,3.5
17.0,3.5
12.0,3.5
16.0,1.0
10.0,1.0
23.0,1.0
17.0,1.0
15.0,1.0
23.0,1.0
26.0,1.0
16.0,1.6
20.0,1.6
17.0,1.6
17.0,1.6
20.0,1.6
10.0,1.6
14.0,1.6
14.0,1.6
12.0,1.6
27.0,1.6
13.0,-6.4
10.0,-6.4
22.0,-6.4
17.0,-6.4
3.0,-6.4
3.0,-6.4
17.0,-6.4
3.0,-6.4
6.0,-6.4
23.0,-6.4
13.0,-6.4
7.0,0.7
20.0,0.7
14.0,0.7
23.0,0.7
17.0,0.7
25.0,0.7
35.0,0.7
27.0,0.7
14.0,-0.3
10.0,-0.3
19.0,-0.3
13.0,-0.3
16.0,-0.3
27.0,-0.3
20.0,-0.8
25.0,-0.8
10.0,-0.8
31.0,-0.8
25.0,-0.8
7.0,-0.8
24.0,-0.8
25.0,-0.8
31.0,-0.8
27.0,-0.4
10.0,-0.4
23.0,-0.4
16.0,-0.4
23.0,-0.4
27.0,-0.4
17.0,-0.4
10.0,-0.4
10.0,-5.8
21.0,-5.8
23.0,-5.8
14.0,-5.8
10.0,-5.8
16.0,-5.8
10.0,-5.8
27.0,-5.8
14.0,-5.8
17.0,-5.8
17.0,-5.8
21.0,-5.8
16.0,-5.8
16.0,-2.6
26.0,-2.6
17.0,-2.6
20.0,-2.6
10.0,-2.6
35.0,-2.6
17.0,-2.6
14.0,4.4
25.0,4.4
26.0,4.4
21.0,4.4
32.0,4.4
16.0,4.4
24.0,4.4
10.0,0.8
16.0,0.8
14.0,0.8
20.0,0.8
17.0,0.8
33.0,0.8
16.0,0.8
7.0,0.8
32.0,0.8
38.0,0.8
13.0,-1.2
17.0,-1.2
16.0,-1.2
0.0,-1.2
9.0,-1.2
13.0,-1.2
20.0,-1.2
13.0,-1.2
24.0,3.6
21.0,3.6
19.0,3.6
6.0,3.6
20.0,3.6
13.0,3.6
18.0,3.6
23.0,3.6
41.0,3.6
16.0,-3.1
22.0,-3.1
20.0,-3.1
10.0,-3.1
14.0,-3.1
23.0,-3.1
21.0,-3.1
20.0,-3.1
17.0,-3.1
16.0,-3.1
19.0,-3.1
14.0,-3.1
21.0,-3.1
15.0,-3.3
6.0,-3.3
6.0,-3.3
24.0,-3.3
27.0,-3.3
13.0,-3.3
21.0,-3.3
14.0,-3.3
10.0,4.0
3.0,4.0
27.0,4.0
10.0,4.0
16.0,4.0
20.0,4.0
13.0,4.0
22.0,0.5
21.0,0.5
19.0,0.5
27.0,0.5
27.0,0.5
31.0,0.5
16.0,0.5
16.0,0.5
24.0,0.5
34.0,0.5
17.0,0.5
6.0,1.7
10.0,1.7
25.0,1.7
16.0,1.7
13.0,1.7
15.0,1.7
20.0,1.7
10.0,1.7
14.0,0.0
23.0,0.0
15.0,0.0
13.0,0.0
26.0,0.0
23.0,0.0
23.0,0.0
20.0,0.0
22.0,0.0
13.0,4.3
19.0,4.3
7.0,4.3
31.0,4.3
3.0,3.8
17.0,3.8
16.0,3.8
14.0,3.8
30.0,3.8
15.0,3.8
15.0,7.8
24.0,7.8
28.0,7.8
28.0,7.8
24.0,7.8
30.0,7.8
17.0,-6.2
17.0,-6.2
17.0,-6.2
13.0,-6.2
23.0,-6.2
18.0,-6.2
21.0,-6.2
20.0,-6.2
27.0,-6.2
17.0,-6.2
16.0,-6.2
24.0,-6.2
6.0,-6.2
23.0,-6.2
5.0,4.1
20.0,4.1
31.0,4.1
10.0,4.1
3.0,4.1
20.0,4.1
11.0,1.9
23.0,1.9
21.0,1.9
32.0,1.9
32.0,1.9
13.0,1.9
34.0,1.9
13.0,1.9
20.0,1.9
10.0,-10.2
14.0,-10.2
10.0,-10.2
3.0,-10.2
6.0,-10.2
28.0,-10.2
0.0,-10.2
21.0,-10.2
10.0,-10.2
19.0,-10.2
10.0,-10.2
21.0,-10.2
6.0,-0.1
10.0,-0.1
13.0,-0.1
28.0,-0.1
14.0,-0.1
7.0,-0.7
28.0,-0.7
7.0,-0.7
24.0,-0.7
20.0,-0.7
32.0,-0.7
24.0,-0.7
24.0,10.0
0.0,10.0
21.0,3.1
30.0,3.1
10.0,3.1
13.0,3.1
17.0,3.1
31.0,3.1
9.0,3.1
16.0,4.0
10.0,4.0
20.0,4.0
17.0,4.0
24.0,4.0
20.0,4.0
33.0,4.0
27.0,4.1
31.0,4.1
24.0,4.1
7.0,4.1
9.0,4.1
24.0,4.1
14.0,4.1
22.0,-10.3
16.0,-10.3
0.0,-10.3
10.0,-10.3
7.0,-10.3
17.0,-10.3
16.0,-10.3
9.0,-10.3
13.0,-10.3
13.0,-10.3
18.0,-10.3
23.0,-10.3
9.0,-8.7
7.0,-8.7
16.0,-8.7
18.0,-8.7
24.0,-8.7
10.0,-8.7
10.0,-8.7
24.0,-8.7
21.0,-8.7
17.0,-8.7
14.0,-8.7
28.0,-8.7
3.0,-8.7
7.0,-8.7
16.0,-8.7
10.0,-8.7
20.0,1.9
7.0,1.9
16.0,1.9
9.0,1.9
38.0,1.9
24.0,1.9
27.0,1.9
20.0,-3.7
7.0,-3.7
7.0,-3.7
14.0,-3.7
20.0,-3.7
0.0,-3.7
24.0,-3.7
9.0,-3.7
7.0,-3.7
13.0,-5.7
7.0,-5.7
7.0,-5.7
33.0,-5.7
34.0,-5.7
6.0,-5.7
16.0,-5.7
7.0,-5.7
38.0,-5.7
14.0,-5.7
13.0,-5.7
16.0,-5.7
13.0,3.9
35.0,3.9
7.0,3.9
10.0,3.9
20.0,3.9
13.0,3.9
17.0,-5.0
12.0,-5.0
3.0,-5.0
17.0,-5.0
10.0,-5.0
24.0,-5.0
10.0,-5.0
14.0,-5.0
16.0,-5.0
7.0,-5.0
14.0,-5.0
23.0,-2.8
17.0,-2.8
10.0,-2.8
0.0,-2.8
28.0,-2.8
0.0,-2.8
17.0,-2.8
11.0,-2.8
24.0,-2.8
26.0,1.0
38.0,1.0
23.0,1.0
15.0,1.0
20.0,1.0
24.0,1.0
17.0,1.0
20.0,-7.3
19.0,-7.3
17.0,-7.3
6.0,-7.3
20.0,-7.3
12.0,-7.3
27.0,-7.3
0.0,-7.3
10.0,-7.3
28.0,-7.3
7.0,-7.3
7.0,2.9
9.0,2.9
30.0,2.9
31.0,2.9
17.0,2.9
12.0,2.9
6.0,2.9
20.0,0.1
21.0,0.1
10.0,0.1
14.0,0.1
17.0,0.1
27.0,0.1
21.0,0.1
3.0,0.1
19.0,0.1
20.0,0.1
33.0,0.1
17.0,6.7
20.0,6.7
24.0,6.7
19.0,6.7
20.0,6.7
24.0,6.7
10.0,3.6
26.0,3.6
13.0,3.6
21.0,3.6
23.0,3.6
3.0,3.6
3.0,-4.4
10.0,-4.4
3.0,-4.4
16.0,-4.4
3.0,-4.4
21.0,-4.4
16.0,-4.4
24.0,-4.4
42.0,5.5
9.0,5.5
24.0,5.5
17.0,5.5
17.0,6.1
24.0,6.1
13.0,6.1
10.0,6.1
13.0,6.1
21.0,6.1
17.0,6.1
0.0,-5.0
17.0,-5.0
13.0,-5.0
24.0,-5.0
16.0,-5.0
16.0,-5.0
0.0,-5.0
21.0,-5.0
20.0,-5.0
6.0,-5.0
31.0,1.0
17.0,1.0
24.0,1.0
30.0,1.0
20.0,1.0
19.0,1.0
14.0,1.0
13.0,1.0
10.0,1.0
13.0,4.5
10.0,4.5
7.0,4.5
9.0,4.5
17.0,4.5
17.0,4.5
17.0,4.5
7.0,6.0
9.0,6.0
7.0,6.0
24.0,6.0
33.0,8.7
27.0,8.7
30.0,8.7
20.0,8.7
24.0,-2.6
29.0,-2.6
17.0,-2.6
10.0,-2.6
17.0,-2.6
3.0,-2.6
10.0,-2.6
0.0,-2.6
23.0,-2.6
7.0,-2.6
10.0,-2.6
22.0,-2.6
21.0,-2.6
7.0,-4.9
23.0,-4.9
0.0,-4.9
16.0,-4.9
17.0,-4.9
21.0,-4.9
16.0,-4.9
15.0,-4.9
10.0,-3.0
39.0,-3.0
3.0,-3.0
10.0,-3.0
15.0,-3.0
10.0,-3.0
9.0,-3.0
13.0,-3.0
24.0,-3.0
23.0,-3.0
23.0,-4.3
16.0,-4.3
19.0,-4.3
24.0,-4.3
14.0,-4.3
16.0,-4.3
9.0,-4.3
11.0,-4.3
17.0,-4.3
0.0,-4.3
10.0,-4.3
10.0,-1.2
8.0,-1.2
15.0,-1.2
14.0,-1.2
17.0,-1.2
17.0,-1.2
10.0,-1.2
10.0,-1.2
16.0,-1.2
10.0,-1.2
14.0,-2.2
16.0,-2.2
17.0,-2.2
23.0,-2.2
14.0,-2.2
7.0,-2.2
10.0,-2.2
23.0,-2.2
20.0,8.1
0.0,8.1
10.0,8.1
7.0,2.9
21.0,2.9
30.0,2.9
20.0,2.9
17.0,2.9
22.0,2.9
9.0,-5.8
23.0,-5.8
13.0,-5.8
0.0,-5.8
19.0,-5.8
14.0,-5.8
16.0,-5.8
16.0,-5.8
21.0,-5.8
5.0,-4.2
20.0,-4.2
6.0,-4.2
12.0,-4.2
17.0,-4.2
3.0,-4.2
0.0,-4.2
23.0,-4.2
9.0,-4.2
13.0,-4.2
28.0,-7.6
10.0,-7.6
6.0,-7.6
33.0,-7.6
3.0,-7.6
13.0,-7.6
20.0,-7.6
16.0,-7.6
17.0,-7.6
19.0,-7.6
3.0,-7.6
3.0,-7.6
26.0,-2.1
7.0,-2.1
18.0,-2.1
14.0,-2.1
16.0,-2.1
13.0,-2.1
6.0,-2.1
9.0,-2.1
21.0,-2.1
7.0,-2.1
3.0,-2.1
10.0,-2.8
17.0,-2.8
19.0,-2.8
20.0,-2.8
0.0,-2.8
12.0,-2.8
17.0,-2.8
24.0,-8.3
7.0,-8.3
17.0,-8.3
7.0,-8.3
17.0,-8.3
12.0,-8.3
17.0,-8.3
21.0,-8.3
23.0,-8.3
0.0,2.8
22.0,2.8
8.0,2.8
17.0,2.8
14.0,2.8
13.0,2.8
16.0,2.8
27.0,-1.3
13.0,-1.3
35.0,-1.3
13.0,-1.3
22.0,-1.3
18.0,-1.3
15.0,-1.3
31.0,-1.3
13.0,-1.3
20.0,-1.3
0.0,-1.3
22.0,4.2
17.0,4.2
31.0,4.2
31.0,4.2
24.0,4.2
23.0,4.2
17.0,4.2
24.0,-3.0
16.0,-3.0
9.0,-3.0
9.0,-3.0
17.0,-3.0
27.0,-3.0
22.0,-3.0
16.0,-3.0
13.0,-3.0
14.0,-3.0
20.0,2.6
23.0,2.6
14.0,2.6
7.0,2.6
21.0,2.6
21.0,2.6
17.0,2.6
23.0,2.6
19.0,2.7
12.0,2.7
37.0,2.7
17.0,2.7
17.0,2.7
36.0,2.7
16.0,2.7
20.0,2.7
16.0,2.7
10.0,7.9
23.0,7.9
40.0,7.9
14.0,7.9
20.0,-1.3
14.0,-1.3
27.0,-1.3
34.0,-1.3
12.0,-1.3
28.0,-1.3
3.0,-1.3
29.0,-1.3
32.0,-1.3
10.0,-1.3
35.0,-1.3
17.0,2.6
24.0,2.6
23.0,2.6
16.0,2.6
23.0,2.6
21.0,2.6
9.0,2.6
27.0,-5.8
27.0,-5.8
10.0,-5.8
32.0,-5.8
9.0,-5.8
16.0,-5.8
30.0,-5.8
9.0,-5.8
23.0,-5.8
16.0,-5.8
18.0,-5.8
15.0,-5.8
14.0,-4.0
21.0,-4.0
18.0,-4.0
23.0,-4.0
21.0,-4.0
18.0,-4.0
24.0,-4.0
13.0,-4.0
42.0,-4.0
10.0,-12.9
14.0,-12.9
0.0,-12.9
9.0,-12.9
17.0,-12.9
6.0,-12.9
10.0,-12.9
14.0,-12.9
14.0,-12.9
17.0,-12.9
24.0,-12.9
3.0,-12.9
21.0,-12.9
30.0,5.5
37.0,5.5
28.0,5.5
14.0,5.5
17.0,5.5
21.0,5.5
21.0,-5.1
10.0,-5.1
14.0,-5.1
21.0,-5.1
13.0,-5.1
21.0,-5.1
21.0,-5.1
10.0,-5.1
20.0,-5.1
18.0,-5.1
28.0,8.5
51.0,8.5
31.0,8.5
40.0,8.5
31.0,8.5
9.0,-0.6
23.0,-0.6
23.0,-0.6
20.0,-0.6
14.0,-0.6
16.0,-0.6
14.0,-0.6
16.0,-0.6
17.0,-0.6
14.0,-0.6
15.0,4.9
31.0,4.9
28.0,4.9
23.0,4.9
27.0,4.9
16.0,4.2
13.0,4.2
24.0,4.2
0.0,4.2
23.0,4.2
34.0,4.2
34.0,4.2
23.0,7.4
3.0,7.4
35.0,7.4
6.0,7.4
28.0,6.8
23.0,6.8
28.0,6.8
10.0,6.8
22.0,6.8
31.0,2.7
10.0,2.7
20.0,2.7
20.0,2.7
10.0,2.7
6.0,2.7
7.0,2.7
27.0,2.2
17.0,2.2
29.0,2.2
17.0,2.2
17.0,2.2
17.0,2.2
24.0,2.2
23.0,2.2
0.0,2.2
17.0,2.2
13.0,-8.5
3.0,-8.5
17.0,-8.5
12.0,-8.5
6.0,-8.5
12.0,-8.5
38.0,-8.5
22.0,-8.5
10.0,-8.5
17.0,-8.5
10.0,-8.5
22.0,-8.5
9.0,-1.6
17.0,-1.6
21.0,-1.6
17.0,-1.6
24.0,-1.6
10.0,-1.6
20.0,-1.6
27.0,-1.6
19.0,-1.6
33.0,6.9
20.0,6.9
10.0,6.9
10.0,6.9
10.0,6.9
19.0,-1.0
13.0,-1.0
17.0,-1.0
10.0,-1.0
17.0,-1.0
16.0,-1.0
6.0,-1.0
12.0,-5.7
3.0,-5.7
20.0,-5.7
26.0,-5.7
10.0,-5.7
6.0,-5.7
11.0,-5.7
13.0,-5.7
12.0,-5.7
27.0,-5.7
20.0,0.5
20.0,0.5
10.0,0.5
17.0,0.5
21.0,0.5
10.0,0.5
24.0,0.5
17.0,0.5
17.0,0.5
13.0,0.5
20.0,0.5
32.0,1.2
10.0,1.2
12.0,1.2
20.0,1.2
10.0,1.2
18.0,1.2
22.0,1.2
24.0,1.2
33.0,1.2
24.0,12.2
32.0,12.2
24.0,12.2
13.0,12.2
24.0,-3.7
21.0,-3.7
14.0,-3.7
10.0,-3.7
9.0,-3.7
24.0,-3.7
16.0,-3.7
15.0,-3.7
3.0,-3.7
17.0,0.3
17.0,0.3
24.0,0.3
7.0,0.3
24.0,0.3
35.0,0.3
20.0,0.3
24.0,0.3
12.0,0.3
22.0,7.5
13.0,7.5
16.0,7.5
20.0,7.5
24.0,7.5
21.0,4.7
24.0,4.7
7.0,4.7
28.0,4.7
17.0,4.7
7.0,4.7
20.0,4.7
0.0,4.7
20.0,1.9
23.0,1.9
34.0,1.9
17.0,1.9
24.0,1.9
17.0,1.9
22.0,1.9
26.0,1.9
31.0,1.9
12.0,9.6
28.0,9.6
25.0,9.6
13.0,-2.2
28.0,-2.2
3.0,-2.2
13.0,-2.2
15.0,-2.2
13.0,-2.2
13.0,-2.2
24.0,-2.2
19.0,-2.2
23.0,-2.2
14.0,2.4
31.0,2.4
7.0,2.4
28.0,2.4
23.0,2.4
10.0,2.4
24.0,2.4
20.0,7.8
46.0,7.8
9.0,7.8
9.0,7.8
10.0,-8.7
13.0,-8.7
17.0,-8.7
17.0,-8.7
14.0,-8.7
17.0,-8.7
18.0,-8.7
26.0,-8.7
14.0,-8.7
14.0,-8.7
21.0,-8.7
27.0,-8.7
20.0,1.6
9.0,1.6
9.0,1.6
10.0,1.6
24.0,1.6
10.0,1.6
20.0,1.6
31.0,1.6
30.0,-5.6
7.0,-5.6
30.0,-5.6
22.0,-5.6
20.0,-5.6
27.0,-5.6
24.0,-5.6
17.0,-5.6
13.0,-5.6
20.0,-5.6
17.0,-5.6
16.0,-5.6
9.0,-9.9
0.0,-9.9
15.0,-9.9
27.0,-9.9
27.0,-9.9
9.0,-9.9
21.0,-9.9
16.0,-9.9
7.0,-9.9
15.0,-9.9
3.0,-9.9
35.0,-9.9
17.0,-9.9
24.0,6.1
24.0,6.1
9.0,6.1
15.0,6.1
9.0,6.1
10.0,6.1
24.0,6.1
22.0,6.1
23.0,-3.5
6.0,-3.5
3.0,-3.5
16.0,-3.5
3.0,-3.5
16.0,-3.5
13.0,-3.5
14.0,-3.5
24.0,-3.5
20.0,-8.0
17.0,-8.0
10.0,-8.0
17.0,-8.0
17.0,-8.0
13.0,-8.0
13.0,-8.0
10.0,-8.0
19.0,-8.0
17.0,-8.0
3.0,-8.0
10.0,-8.0
23.0,-8.0
35.0,-8.0
26.0,-3.8
20.0,-3.8
10.0,-3.8
23.0,-3.8
10.0,-3.8
3.0,-3.8
7.0,-3.8
10.0,-3.8
10.0,-3.3
25.0,-3.3
26.0,-3.3
7.0,-3.3
24.0,-3.3
17.0,-3.3
27.0,-3.3
9.0,-3.3
27.0,-3.3
20.0,-3.3
17.0,-3.3
29.0,3.5
7.0,3.5
31.0,3.5
6.0,3.5
21.0,3.5
40.0,3.5
12.0,3.5
24.0,7.5
20.0,7.5
17.0,7.5
22.0,7.5
30.0,6.2
10.0,6.2
23.0,6.2
16.0,6.2
10.0,6.2
6.0,6.2
19.0,6.2
24.0,-7.0
13.0,-7.0
16.0,-7.0
27.0,-7.0
31.0,-7.0
10.0,-7.0
14.0,-7.0
6.0,-7.0
3.0,-7.0
20.0,-7.0
21.0,-7.0
20.0,3.4
8.0,3.4
27.0,3.4
11.0,3.4
21.0,2.9
23.0,2.9
12.0,2.9
16.0,2.9
27.0,2.9
13.0,2.9
3.0,-0.6
3.0,-0.6
13.0,-0.6
14.0,-0.6
7.0,-0.6
16.0,-0.6
25.0,-0.6
21.0,-0.6
6.0,-6.5
16.0,-6.5
21.0,-6.5
14.0,-6.5
0.0,-6.5
3.0,-6.5
15.0,-6.5
18.0,-6.5
6.0,-6.5
21.0,-9.8
20.0,-9.8
10.0,-9.8
10.0,-9.8
6.0,-9.8
0.0,-9.8
24.0,-9.8
20.0,-9.8
14.0,-9.8
16.0,-9.8
21.0,-9.8
32.0,10.3
13.0,-3.6
3.0,-3.6
30.0,-3.6
34.0,-3.6
27.0,-3.6
23.0,-3.6
29.0,-8.8
13.0,-8.8
16.0,-8.8
25.0,-8.8
14.0,-8.8
25.0,-8.8
17.0,-0.9
28.0,-0.9
29.0,-0.9
19.0,-0.9
3.0,-7.8
19.0,-7.8
10.0,-7.8
31.0,-7.8
17.0,-7.8
38.0,-7.8
9.0,-7.8
23.0,-2.1
10.0,-2.1
11.0,-2.1
34.0,1.9
23.0,1.9
26.0,1.9
11.0,1.9
21.0,-4.7
29.0,-4.7
20.0,-4.7
23.0,-4.7
21.0,-4.7
30.0,5.5
24.0,5.5
16.0,-0.6
39.0,-0.6
25.0,-0.6
26.0,-0.6
16.0,-0.6
22.0,-0.6
20.0,-2.4
16.0,-2.4
21.0,-2.4
23.0,-2.4
20.0,-2.4
17.0,3.7
17.0,3.7
20.0,3.7
27.0,3.7
20.0,3.7
17.0,1.9
0.0,-9.0
10.0,-9.0
9.0,-9.0
27.0,-9.0
17.0,-9.0
10.0,-9.0
13.0,-9.0
7.0,-9.0
28.0,-9.0
17.0,3.8
32.0,3.8
16.0,3.8
31.0,2.5
21.0,2.5
23.0,2.5
6.0,-1.5
7.0,-1.5
6.0,-1.5
17.0,-4.2
15.0,-4.2
10.0,-4.2
20.0,-4.2
19.0,-4.2
20.0,-4.2
10.0,0.5
20.0,0.5
23.0,0.5
34.0,-5.4
16.0,-5.4
13.0,-5.4
9.0,-5.4
9.0,-5.4
21.0,-5.4
21.0,-2.7
27.0,-2.7
16.0,-2.7
24.0,6.7
20.0,6.7
17.0,-0.6
24.0,-0.6
30.0,-0.6
31.0,-0.6
16.0,-0.6
27.0,-2.9
26.0,-2.9
20.0,-2.9
16.0,-2.9
30.0,-2.9
30.0,-0.1
10.0,-0.1
21.0,-0.1
6.0,-0.1
12.0,-0.1
22.0,4.7
34.0,4.7
34.0,4.7
23.0,-0.5
11.0,-0.5
28.0,-0.5
20.0,-0.2
23.0,-0.2
